Time (seconds),light
8.64,-454.1935
8.64,-443.871
8.65,-443.871
8.65,-443.871
8.65,-443.871
8.66,-454.1935
8.66,-443.871
8.67,-443.871
8.67,-443.871
8.67,-443.871
8.68,-443.871
8.68,-443.871
8.69,-454.1935
8.69,-443.871
8.69,-443.871
8.70,-443.871
8.72,-443.871
8.73,-443.871
8.73,-443.871
8.73,-443.871
8.74,-443.871
8.74,-443.871
8.75,-443.871
8.75,-443.871
8.75,-443.871
8.76,-443.871
8.76,-443.871
8.77,-454.1935
8.77,-443.871
8.77,-443.871
8.78,-443.871
8.78,-454.1935
8.79,-443.871
8.79,-443.871
8.81,-443.871
8.82,-443.871
8.82,-443.871
8.83,-443.871
8.83,-443.871
8.83,-454.1935
8.84,-443.871
8.84,-443.871
8.85,-443.871
8.85,-443.871
8.85,-443.871
8.86,-454.1935
8.86,-443.871
8.87,-443.871
8.87,-443.871
8.87,-443.871
8.88,-443.871
8.88,-443.871
9.01,-443.871
9.01,-443.871
9.02,-443.871
9.02,-443.871
9.03,-443.871
9.03,-443.871
9.03,-443.871
9.04,13156.26
9.04,13141.19
9.05,13141.19
9.05,13156.26
9.05,13141.19
9.06,13156.26
9.06,13141.19
9.07,13141.19
9.07,13141.19
9.07,13141.19
9.08,13141.19
9.09,13141.19
9.10,13141.19
9.11,13141.19
9.11,13141.19
9.11,13141.19
9.12,13141.19
9.12,13141.19
9.13,13156.26
9.13,13141.19
9.13,13141.19
9.14,13141.19
9.14,13156.26
9.15,13141.19
9.15,13141.19
9.15,13141.19
9.16,13141.19
9.16,13141.19
9.17,13141.19
9.17,13141.19
9.19,13141.19
9.20,13141.19
9.20,13141.19
9.21,13156.26
9.21,13141.19
9.21,13126.12
9.22,13141.19
9.22,13141.19
9.23,13141.19
9.23,13141.19
9.23,13126.12
9.24,13141.19
9.24,13141.19
9.25,13141.19
9.25,13126.12
9.25,13126.12
9.26,13126.12
9.26,13141.19
9.29,13337.06
9.29,13337.06
9.29,13337.06
9.30,13337.06
9.30,13337.06
9.31,13337.06
9.31,13337.06
9.31,13337.06
9.32,13337.06
9.32,13337.06
9.33,13337.06
9.33,13337.06
9.33,13337.06
9.34,13321.99
9.34,13337.06
9.35,13337.06
9.35,13337.06
9.35,13337.06
9.38,13337.06
9.38,13337.06
9.39,13337.06
