Time (seconds),x,y,z
7.98,-44,32,984
7.98,-24,-72,972
7.99,-24,-72,972
7.99,-24,-72,972
8.01,-20,-28,992
8.02,-20,-28,992
8.02,-36,-24,988
8.03,-36,-24,988
8.03,-36,-24,988
8.03,-36,-24,988
8.04,-36,-24,988
8.04,-16,-60,992
8.05,-16,-60,992
8.05,-16,-60,992
8.06,-16,-60,992
8.06,-8,-48,1024
8.07,-8,-48,1024
8.08,-8,-48,1024
8.08,-24,-36,1004
8.11,-8,-72,1004
8.12,-8,-72,1004
8.12,-36,-32,1040
8.13,-36,-32,1040
8.14,-36,-32,1040
8.14,-40,-64,968
8.15,-40,-64,968
8.15,-40,-64,968
8.16,-40,-64,968
8.16,-88,-52,920
8.17,-88,-52,920
8.17,-88,-52,920
8.17,-88,-52,920
8.18,-88,-52,920
8.18,-40,-76,932
8.21,-60,-4,972
8.21,-60,-4,972
8.21,-60,-4,972
8.22,-60,-4,972
8.22,-84,-52,1032
8.23,-84,-52,1032
8.23,-84,-52,1032
8.24,-44,-36,984
8.25,-44,-36,984
8.25,-44,-36,984
8.26,-36,-76,944
8.27,-36,-76,944
8.27,-36,-76,944
8.28,-44,-24,1024
8.29,-44,-24,1024
8.31,-4,-96,1028
8.32,-36,-8,1004
8.33,-36,-8,1004
8.34,-36,-8,1004
8.34,-40,-60,1008
8.35,-40,-60,1008
8.35,-40,-60,1008
8.35,-40,-60,1008
8.36,-40,-60,1008
8.36,-68,-4,988
8.37,-68,-4,988
8.37,-68,-4,988
8.37,-68,-4,988
8.38,-68,-4,988
8.38,-16,0,1012
8.41,-32,-44,1004
8.41,-32,-44,1004
8.41,-32,-44,1004
8.42,0,-116,1008
8.43,0,-116,1008
8.43,0,-116,1008
8.44,-72,-60,916
8.45,-72,-60,916
8.45,-72,-60,916
8.46,-100,-20,1076
8.47,-100,-20,1076
8.47,-100,-20,1076
8.48,-76,-24,1204
8.49,-76,-24,1204
8.51,-164,-24,832
8.52,-204,-44,1012
8.53,-204,-44,1012
8.53,-204,-44,1012
8.53,-204,-44,1012
8.54,-228,-28,960
8.54,-228,-28,960
8.55,-228,-28,960
8.55,-228,-28,960
8.55,-228,-28,960
8.56,-240,20,784
8.57,-240,20,784
8.57,-240,20,784
8.57,-240,20,784
8.59,-220,-4,892
8.60,-196,12,940
8.60,-196,12,940
8.61,-196,12,940
8.61,-196,12,940
8.62,-296,28,1016
8.63,-296,28,1016
8.63,-296,28,1016
8.64,-276,-72,1172
8.65,-276,-72,1172
8.66,-368,-4,1036
8.67,-368,-4,1036
8.68,-368,-4,1036
8.68,-172,-36,644
8.69,-172,-36,644
8.71,-428,80,980
8.72,-328,-16,920
8.72,-328,-16,920
8.73,-328,-16,920
8.73,-328,-16,920
8.73,-328,-16,920
8.74,-292,-144,728
8.74,-292,-144,728
8.75,-292,-144,728
8.75,-292,-144,728
8.75,-292,-144,728
8.76,-452,-96,1124
8.76,-452,-96,1124
8.77,-452,-96,1124
8.79,-552,-252,852
8.80,-492,-136,956
8.81,-492,-136,956
8.81,-492,-136,956
8.82,-472,-164,868
8.83,-472,-164,868
8.83,-472,-164,868
8.84,-520,-44,780
8.85,-520,-44,780
8.85,-520,-44,780
8.86,-684,-88,460
8.87,-684,-88,460
8.88,-628,-40,796
8.89,-628,-40,796
8.91,-592,-56,764
8.91,-592,-56,764
8.92,-632,-96,976
8.92,-632,-96,976
8.93,-632,-96,976
8.93,-632,-96,976
8.93,-632,-96,976
8.94,-672,28,928
8.94,-672,28,928
8.95,-672,28,928
8.95,-672,28,928
8.95,-672,28,928
8.96,-680,-32,532
8.96,-680,-32,532
9.09,-836,-108,384
9.09,-836,-108,384
9.10,-928,-180,332
9.10,-928,-180,332
9.11,-928,-180,332
9.11,-928,-180,332
9.11,-928,-180,332
9.12,-956,-164,340
9.12,-956,-164,340
9.13,-956,-164,340
9.13,-956,-164,340
9.13,-956,-164,340
9.14,-900,-80,204
9.14,-900,-80,204
9.17,-828,-92,92
9.17,-828,-92,92
9.18,-916,-132,196
9.19,-916,-132,196
9.19,-916,-132,196
9.20,-1012,-220,264
9.21,-1012,-220,264
9.22,-920,-260,-56
9.23,-920,-260,-56
9.23,-920,-260,-56
9.24,-908,-84,-112
9.25,-908,-84,-112
9.25,-908,-84,-112
9.27,-1000,-188,-156
9.28,-1036,-40,32
9.28,-1036,-40,32
9.29,-1036,-40,32
9.29,-1036,-40,32
9.29,-1036,-40,32
9.30,-952,-240,-144
9.30,-952,-240,-144
